longitude,latitude,start_date,end_date,label
-52.21525,-21.079193,2025-09-14,2026-08-10,Forest
-52.40713,-21.055477,2025-09-14,2026-08-10,Forest
-52.383414,-21.055477,2025-09-14,2026-08-10,Forest
-52.4869,-21.066257,2025-09-14,2026-08-10,Forest
-52.398506,-21.051165,2025-09-14,2026-08-10,Forest
-52.379102,-21.051165,2025-09-14,2026-08-10,Forest
-52.20447,-21.066257,2025-09-14,2026-08-10,Forest
-52.389882,-21.057633,2025-09-14,2026-08-10,Forest
-52.480432,-21.066257,2025-09-14,2026-08-10,Forest
-52.269149,-21.049009,2025-09-14,2026-08-10,Forest
-52.376946,-21.046853,2025-09-14,2026-08-10,Forest
-52.47612,-21.055477,2025-09-14,2026-08-10,Forest
-52.20447,-21.074881,2025-09-14,2026-08-10,Forest
-52.40713,-21.057633,2025-09-14,2026-08-10,Forest
-52.269149,-21.042541,2025-09-14,2026-08-10,Forest
-52.37479,-21.057633,2025-09-14,2026-08-10,Forest
-52.379102,-21.055477,2025-09-14,2026-08-10,Forest
-52.38557,-21.061945,2025-09-14,2026-08-10,Forest
-52.484744,-21.059789,2025-09-14,2026-08-10,Forest
-52.478276,-21.057633,2025-09-14,2026-08-10,Forest
-52.282084,-21.079193,2025-09-14,2026-08-10,Forest
-52.484744,-21.061945,2025-09-14,2026-08-10,Forest
-52.398506,-21.053321,2025-09-14,2026-08-10,Forest
-52.379102,-21.057633,2025-09-14,2026-08-10,Forest
-52.437313,-21.066257,2025-09-14,2026-08-10,Forest
-52.381258,-21.059789,2025-09-14,2026-08-10,Forest
-52.021214,-21.053321,2025-09-14,2026-08-10,Forest
-52.213094,-21.064101,2025-09-14,2026-08-10,Forest
-52.400662,-21.051165,2025-09-14,2026-08-10,Forest
-52.39635,-21.059789,2025-09-14,2026-08-10,Forest
-52.275616,-21.053321,2025-09-14,2026-08-10,Forest
-52.4869,-21.051165,2025-09-14,2026-08-10,Forest
-52.392038,-21.064101,2025-09-14,2026-08-10,Forest
-52.415754,-21.049009,2025-09-14,2026-08-10,Forest
-52.478276,-21.059789,2025-09-14,2026-08-10,Forest
-52.014746,-21.053321,2025-09-14,2026-08-10,Forest
-52.20447,-21.079193,2025-09-14,2026-08-10,Forest
-52.202314,-21.081349,2025-09-14,2026-08-10,Forest
-52.290708,-21.085661,2025-09-14,2026-08-10,Forest
-52.39635,-21.066257,2025-09-14,2026-08-10,Forest
-52.271304,-21.051165,2025-09-14,2026-08-10,Forest
-52.275616,-21.061945,2025-09-14,2026-08-10,Forest
-52.443781,-21.055477,2025-09-14,2026-08-10,Forest
-52.398506,-21.055477,2025-09-14,2026-08-10,Forest
-52.28424,-21.081349,2025-09-14,2026-08-10,Forest
-52.202314,-21.070569,2025-09-14,2026-08-10,Forest
