longitude,latitude,start_date,end_date,label
-53.439833,-18.394757,2025-09-14,2026-08-10,Forest
-52.319814,-19.488366,2025-09-14,2026-08-10,Forest
-54.482238,-22.762456,2025-09-14,2026-08-10,Forest
-52.63647,-21.643514,2025-09-14,2026-08-10,Forest
-52.608442,-21.634891,2025-09-14,2026-08-10,Forest
-54.136207,-23.642086,2025-09-14,2026-08-10,Forest
-52.414406,-21.630579,2025-09-14,2026-08-10,Forest
-53.900669,-18.662904,2025-09-14,2026-08-10,Forest
-53.998495,-18.79334,2025-09-14,2026-08-10,Forest
-57.581965,-21.057364,2025-09-14,2026-08-10,Forest
-52.404974,-21.044697,2025-09-14,2026-08-10,Forest
-56.638195,-19.418837,2025-09-14,2026-08-10,Forest
-56.849209,-20.788408,2025-09-14,2026-08-10,Forest
-54.479274,-23.771444,2025-09-14,2026-08-10,Forest
-54.370128,-22.768924,2025-09-14,2026-08-10,Forest
-52.377755,-21.643514,2025-09-14,2026-08-10,Forest
-52.63647,-21.641358,2025-09-14,2026-08-10,Forest
-55.206101,-22.095726,2025-09-14,2026-08-10,Forest
-53.435521,-18.399069,2025-09-14,2026-08-10,Forest
-51.636914,-19.743039,2025-09-14,2026-08-10,Forest
-54.585455,-18.341667,2025-09-14,2026-08-10,Forest
-51.580859,-19.272501,2025-09-14,2026-08-10,Forest
-53.811466,-21.988198,2025-09-14,2026-08-10,Forest
-57.579809,-21.05952,2025-09-14,2026-08-10,Forest
-54.129739,-23.63993,2025-09-14,2026-08-10,Forest
-56.149062,-19.469232,2025-09-14,2026-08-10,Forest
-54.483586,-23.767132,2025-09-14,2026-08-10,Forest
-53.301313,-20.61135,2025-09-14,2026-08-10,Forest
-55.266737,-21.522781,2025-09-14,2026-08-10,Forest
-56.838699,-19.386497,2025-09-14,2026-08-10,Forest
-51.805079,-19.259565,2025-09-14,2026-08-10,Forest
-52.27346,-21.042541,2025-09-14,2026-08-10,Forest
-52.57233,-21.919207,2025-09-14,2026-08-10,Forest
-52.928063,-21.917051,2025-09-14,2026-08-10,Forest
-54.48628,-18.339511,2025-09-14,2026-08-10,Forest
-52.026603,-19.490522,2025-09-14,2026-08-10,Forest
-54.889444,-18.335199,2025-09-14,2026-08-10,Forest
-53.448457,-18.396913,2025-09-14,2026-08-10,Forest
-52.278581,-21.624111,2025-09-14,2026-08-10,Forest
-54.898068,-18.339511,2025-09-14,2026-08-10,Forest
-53.368147,-20.637222,2025-09-14,2026-08-10,Forest
-52.415754,-21.046853,2025-09-14,2026-08-10,Forest
-56.028329,-19.540918,2025-09-14,2026-08-10,Forest
-53.898513,-18.67584,2025-09-14,2026-08-10,Forest
-54.393844,-22.773236,2025-09-14,2026-08-10,Forest
-56.55519,-21.253825,2025-09-14,2026-08-10,Forest
-53.811466,-21.998978,2025-09-14,2026-08-10,Forest
-53.866173,-18.66506,2025-09-14,2026-08-10,Forest
-56.039108,-19.462764,2025-09-14,2026-08-10,Forest
-56.548723,-21.262449,2025-09-14,2026-08-10,Forest
-52.326281,-19.488366,2025-09-14,2026-08-10,Forest
-53.588055,-18.673684,2025-09-14,2026-08-10,Forest
-57.579809,-21.057364,2025-09-14,2026-08-10,Forest
-57.447756,-22.14154,2025-09-14,2026-08-10,Forest
-53.592367,-18.673684,2025-09-14,2026-08-10,Forest
-53.879109,-18.671528,2025-09-14,2026-08-10,Forest
-57.553937,-21.057364,2025-09-14,2026-08-10,Forest
-55.365911,-21.514157,2025-09-14,2026-08-10,Forest
-54.693252,-18.339511,2025-09-14,2026-08-10,Forest
-52.330593,-19.48621,2025-09-14,2026-08-10,Forest
-56.087348,-21.260293,2025-09-14,2026-08-10,Forest
-53.416117,-18.403381,2025-09-14,2026-08-10,Forest
-56.911732,-20.788408,2025-09-14,2026-08-10,Forest
-56.720121,-20.963041,2025-09-14,2026-08-10,Forest
-57.560405,-21.057364,2025-09-14,2026-08-10,Forest
-56.058512,-19.471388,2025-09-14,2026-08-10,Forest
-51.62829,-19.725791,2025-09-14,2026-08-10,Forest
-51.593795,-19.261721,2025-09-14,2026-08-10,Forest
-53.39887,-18.394757,2025-09-14,2026-08-10,Forest
-55.805726,-21.527093,2025-09-14,2026-08-10,Forest
-51.692969,-19.268189,2025-09-14,2026-08-10,Forest
-53.832487,-18.804119,2025-09-14,2026-08-10,Forest
-56.503447,-21.255981,2025-09-14,2026-08-10,Forest
-52.944232,-18.691201,2025-09-14,2026-08-10,Forest
-56.004613,-19.54523,2025-09-14,2026-08-10,Forest
-55.805726,-21.514157,2025-09-14,2026-08-10,Forest
-56.085192,-21.253825,2025-09-14,2026-08-10,Forest
-53.062002,-20.361259,2025-09-14,2026-08-10,Forest
-54.975413,-17.690568,2025-09-14,2026-08-10,Forest
-54.8916,-18.339511,2025-09-14,2026-08-10,Forest
-56.838699,-19.367094,2025-09-14,2026-08-10,Forest
-56.498058,-19.377873,2025-09-14,2026-08-10,Forest
-53.450613,-18.394757,2025-09-14,2026-08-10,Forest
-56.803934,-20.788408,2025-09-14,2026-08-10,Forest
-52.656412,-21.917051,2025-09-14,2026-08-10,Forest
-55.296651,-22.106506,2025-09-14,2026-08-10,Forest
-55.454305,-21.522781,2025-09-14,2026-08-10,Forest
-54.486011,-20.146741,2025-09-14,2026-08-10,Forest
-53.994183,-18.804119,2025-09-14,2026-08-10,Forest
-54.142675,-23.631306,2025-09-14,2026-08-10,Forest
-54.869771,-22.09357,2025-09-14,2026-08-10,Forest
-52.381258,-21.044697,2025-09-14,2026-08-10,Forest
-53.590211,-18.67584,2025-09-14,2026-08-10,Forest
-52.271304,-21.044697,2025-09-14,2026-08-10,Forest
-51.485997,-19.259565,2025-09-14,2026-08-10,Forest
-52.028759,-19.490522,2025-09-14,2026-08-10,Forest
-57.490876,-22.143696,2025-09-14,2026-08-10,Forest
-54.764399,-18.330887,2025-09-14,2026-08-10,Forest
