longitude,latitude,start_date,end_date,label
-51.895629,-19.266033,2025-09-14,2026-08-10,Forest
-56.993928,-20.963041,2025-09-14,2026-08-10,Forest
-52.527863,-21.049009,2025-09-14,2026-08-10,Forest
-51.893473,-19.263877,2025-09-14,2026-08-10,Forest
-51.805079,-19.261721,2025-09-14,2026-08-10,Forest
-56.728745,-20.963041,2025-09-14,2026-08-10,Forest
-51.595951,-19.261721,2025-09-14,2026-08-10,Forest
-51.595951,-19.263877,2025-09-14,2026-08-10,Forest
-56.87535,-20.963041,2025-09-14,2026-08-10,Forest
-51.485997,-19.259565,2025-09-14,2026-08-10,Forest
-51.807235,-19.261721,2025-09-14,2026-08-10,Forest
-51.887005,-19.259565,2025-09-14,2026-08-10,Forest
-56.733057,-20.963041,2025-09-14,2026-08-10,Forest
-51.731776,-19.259565,2025-09-14,2026-08-10,Forest
-51.587327,-19.266033,2025-09-14,2026-08-10,Forest
-51.897785,-19.266033,2025-09-14,2026-08-10,Forest
-56.748149,-20.963041,2025-09-14,2026-08-10,Forest
-51.809391,-19.263877,2025-09-14,2026-08-10,Forest
-51.589483,-19.261721,2025-09-14,2026-08-10,Forest
-56.877506,-20.965197,2025-09-14,2026-08-10,Forest
-56.754616,-20.963041,2025-09-14,2026-08-10,Forest
-56.722277,-20.963041,2025-09-14,2026-08-10,Forest
-56.877506,-20.963041,2025-09-14,2026-08-10,Forest
-51.703749,-19.261721,2025-09-14,2026-08-10,Forest
-56.758928,-20.963041,2025-09-14,2026-08-10,Forest
-56.750305,-20.963041,2025-09-14,2026-08-10,Forest
-56.741681,-20.963041,2025-09-14,2026-08-10,Forest
-51.522649,-19.263877,2025-09-14,2026-08-10,Forest
-56.890442,-20.963041,2025-09-14,2026-08-10,Forest
-51.442878,-19.266033,2025-09-14,2026-08-10,Forest
-56.76324,-20.965197,2025-09-14,2026-08-10,Forest
-56.873194,-20.965197,2025-09-14,2026-08-10,Forest
-56.737369,-20.963041,2025-09-14,2026-08-10,Forest
-51.587327,-19.259565,2025-09-14,2026-08-10,Forest
-51.587327,-19.263877,2025-09-14,2026-08-10,Forest
-51.703749,-19.263877,2025-09-14,2026-08-10,Forest
-56.87535,-20.965197,2025-09-14,2026-08-10,Forest
-56.88613,-20.963041,2025-09-14,2026-08-10,Forest
-56.724433,-20.963041,2025-09-14,2026-08-10,Forest
-52.51924,-21.042541,2025-09-14,2026-08-10,Forest
-51.692969,-19.263877,2025-09-14,2026-08-10,Forest
-56.931405,-20.963041,2025-09-14,2026-08-10,Forest
-51.658474,-19.266033,2025-09-14,2026-08-10,Forest
-52.530019,-21.049009,2025-09-14,2026-08-10,Forest
-51.882693,-19.261721,2025-09-14,2026-08-10,Forest
-56.743837,-20.963041,2025-09-14,2026-08-10,Forest
-51.889161,-19.261721,2025-09-14,2026-08-10,Forest
-51.535584,-19.261721,2025-09-14,2026-08-10,Forest
-56.713653,-20.963041,2025-09-14,2026-08-10,Forest
-56.761084,-20.965197,2025-09-14,2026-08-10,Forest
-51.895629,-19.263877,2025-09-14,2026-08-10,Forest
-51.621823,-19.266033,2025-09-14,2026-08-10,Forest
-56.726589,-20.963041,2025-09-14,2026-08-10,Forest
-51.585171,-19.261721,2025-09-14,2026-08-10,Forest
-56.715809,-20.963041,2025-09-14,2026-08-10,Forest
-51.805079,-19.259565,2025-09-14,2026-08-10,Forest
-51.623979,-19.266033,2025-09-14,2026-08-10,Forest
-51.934436,-19.261721,2025-09-14,2026-08-10,Forest
-56.88613,-20.965197,2025-09-14,2026-08-10,Forest
-56.720121,-20.963041,2025-09-14,2026-08-10,Forest
-56.717965,-20.963041,2025-09-14,2026-08-10,Forest
-56.739525,-20.963041,2025-09-14,2026-08-10,Forest
-51.725308,-19.259565,2025-09-14,2026-08-10,Forest
-56.730901,-20.963041,2025-09-14,2026-08-10,Forest
-51.887005,-19.261721,2025-09-14,2026-08-10,Forest
-56.873194,-20.963041,2025-09-14,2026-08-10,Forest
-51.587327,-19.261721,2025-09-14,2026-08-10,Forest
-51.891317,-19.261721,2025-09-14,2026-08-10,Forest
-51.66063,-19.266033,2025-09-14,2026-08-10,Forest
-56.75246,-20.963041,2025-09-14,2026-08-10,Forest
-51.593795,-19.261721,2025-09-14,2026-08-10,Forest
-51.429942,-19.259565,2025-09-14,2026-08-10,Forest
