longitude,latitude,start_date,end_date,label
-51.895629,-19.266033,2025-09-14,2026-08-10,Forest
-52.042773,-21.046853,2025-09-14,2026-08-10,Forest
-52.27346,-21.046853,2025-09-14,2026-08-10,Forest
-56.993928,-20.963041,2025-09-14,2026-08-10,Forest
-52.279928,-21.046853,2025-09-14,2026-08-10,Forest
-52.019058,-21.044697,2025-09-14,2026-08-10,Forest
-52.392038,-21.044697,2025-09-14,2026-08-10,Forest
-52.040617,-21.049009,2025-09-14,2026-08-10,Forest
-52.271304,-21.049009,2025-09-14,2026-08-10,Forest
-52.038461,-21.046853,2025-09-14,2026-08-10,Forest
-52.527863,-21.049009,2025-09-14,2026-08-10,Forest
-51.893473,-19.263877,2025-09-14,2026-08-10,Forest
-51.805079,-19.261721,2025-09-14,2026-08-10,Forest
-56.728745,-20.963041,2025-09-14,2026-08-10,Forest
-52.400662,-21.049009,2025-09-14,2026-08-10,Forest
-52.38557,-21.046853,2025-09-14,2026-08-10,Forest
-52.372634,-21.046853,2025-09-14,2026-08-10,Forest
-52.39635,-21.049009,2025-09-14,2026-08-10,Forest
-51.595951,-19.261721,2025-09-14,2026-08-10,Forest
-51.595951,-19.263877,2025-09-14,2026-08-10,Forest
-52.404974,-21.046853,2025-09-14,2026-08-10,Forest
-52.372634,-21.044697,2025-09-14,2026-08-10,Forest
-56.87535,-20.963041,2025-09-14,2026-08-10,Forest
-52.389882,-21.049009,2025-09-14,2026-08-10,Forest
-51.485997,-19.259565,2025-09-14,2026-08-10,Forest
-51.807235,-19.261721,2025-09-14,2026-08-10,Forest
-51.887005,-19.259565,2025-09-14,2026-08-10,Forest
-52.381258,-21.049009,2025-09-14,2026-08-10,Forest
-56.733057,-20.963041,2025-09-14,2026-08-10,Forest
-52.277772,-21.046853,2025-09-14,2026-08-10,Forest
-51.731776,-19.259565,2025-09-14,2026-08-10,Forest
-52.269149,-21.044697,2025-09-14,2026-08-10,Forest
-52.040617,-21.046853,2025-09-14,2026-08-10,Forest
-52.27346,-21.049009,2025-09-14,2026-08-10,Forest
-52.39635,-21.044697,2025-09-14,2026-08-10,Forest
-52.402818,-21.049009,2025-09-14,2026-08-10,Forest
-51.587327,-19.266033,2025-09-14,2026-08-10,Forest
-52.402818,-21.046853,2025-09-14,2026-08-10,Forest
-51.897785,-19.266033,2025-09-14,2026-08-10,Forest
-56.748149,-20.963041,2025-09-14,2026-08-10,Forest
-51.809391,-19.263877,2025-09-14,2026-08-10,Forest
-51.589483,-19.261721,2025-09-14,2026-08-10,Forest
-52.141947,-21.046853,2025-09-14,2026-08-10,Forest
-52.402818,-21.044697,2025-09-14,2026-08-10,Forest
-56.877506,-20.965197,2025-09-14,2026-08-10,Forest
-52.420066,-21.046853,2025-09-14,2026-08-10,Forest
-52.275616,-21.046853,2025-09-14,2026-08-10,Forest
-52.404974,-21.044697,2025-09-14,2026-08-10,Forest
-52.277772,-21.042541,2025-09-14,2026-08-10,Forest
-52.39635,-21.042541,2025-09-14,2026-08-10,Forest
-52.379102,-21.046853,2025-09-14,2026-08-10,Forest
-56.754616,-20.963041,2025-09-14,2026-08-10,Forest
-52.4869,-21.049009,2025-09-14,2026-08-10,Forest
-52.394194,-21.042541,2025-09-14,2026-08-10,Forest
-52.387726,-21.049009,2025-09-14,2026-08-10,Forest
-52.372634,-21.049009,2025-09-14,2026-08-10,Forest
-56.722277,-20.963041,2025-09-14,2026-08-10,Forest
-56.877506,-20.963041,2025-09-14,2026-08-10,Forest
-51.703749,-19.261721,2025-09-14,2026-08-10,Forest
-56.758928,-20.963041,2025-09-14,2026-08-10,Forest
-52.021214,-21.044697,2025-09-14,2026-08-10,Forest
-56.750305,-20.963041,2025-09-14,2026-08-10,Forest
-56.741681,-20.963041,2025-09-14,2026-08-10,Forest
-51.522649,-19.263877,2025-09-14,2026-08-10,Forest
-56.890442,-20.963041,2025-09-14,2026-08-10,Forest
-52.376946,-21.049009,2025-09-14,2026-08-10,Forest
-51.442878,-19.266033,2025-09-14,2026-08-10,Forest
-56.76324,-20.965197,2025-09-14,2026-08-10,Forest
-52.269149,-21.049009,2025-09-14,2026-08-10,Forest
-52.394194,-21.049009,2025-09-14,2026-08-10,Forest
-52.482588,-21.049009,2025-09-14,2026-08-10,Forest
-56.873194,-20.965197,2025-09-14,2026-08-10,Forest
-56.737369,-20.963041,2025-09-14,2026-08-10,Forest
-51.587327,-19.259565,2025-09-14,2026-08-10,Forest
-52.398506,-21.044697,2025-09-14,2026-08-10,Forest
-52.376946,-21.042541,2025-09-14,2026-08-10,Forest
-52.404974,-21.049009,2025-09-14,2026-08-10,Forest
-52.392038,-21.049009,2025-09-14,2026-08-10,Forest
-51.587327,-19.263877,2025-09-14,2026-08-10,Forest
-51.703749,-19.263877,2025-09-14,2026-08-10,Forest
-56.87535,-20.965197,2025-09-14,2026-08-10,Forest
-52.383414,-21.042541,2025-09-14,2026-08-10,Forest
-52.279928,-21.044697,2025-09-14,2026-08-10,Forest
-52.025525,-21.042541,2025-09-14,2026-08-10,Forest
-56.88613,-20.963041,2025-09-14,2026-08-10,Forest
-56.724433,-20.963041,2025-09-14,2026-08-10,Forest
-52.51924,-21.042541,2025-09-14,2026-08-10,Forest
-52.271304,-21.046853,2025-09-14,2026-08-10,Forest
-52.394194,-21.046853,2025-09-14,2026-08-10,Forest
-52.387726,-21.046853,2025-09-14,2026-08-10,Forest
-51.692969,-19.263877,2025-09-14,2026-08-10,Forest
-52.392038,-21.042541,2025-09-14,2026-08-10,Forest
-56.931405,-20.963041,2025-09-14,2026-08-10,Forest
-52.381258,-21.044697,2025-09-14,2026-08-10,Forest
-52.37479,-21.044697,2025-09-14,2026-08-10,Forest
-52.27346,-21.044697,2025-09-14,2026-08-10,Forest
-52.392038,-21.046853,2025-09-14,2026-08-10,Forest
-51.658474,-19.266033,2025-09-14,2026-08-10,Forest
-52.41791,-21.042541,2025-09-14,2026-08-10,Forest
-52.023369,-21.044697,2025-09-14,2026-08-10,Forest
-52.530019,-21.049009,2025-09-14,2026-08-10,Forest
-51.882693,-19.261721,2025-09-14,2026-08-10,Forest
-52.381258,-21.042541,2025-09-14,2026-08-10,Forest
-52.282084,-21.049009,2025-09-14,2026-08-10,Forest
-52.41791,-21.044697,2025-09-14,2026-08-10,Forest
-52.40713,-21.049009,2025-09-14,2026-08-10,Forest
-52.383414,-21.049009,2025-09-14,2026-08-10,Forest
-52.49768,-21.046853,2025-09-14,2026-08-10,Forest
-52.38557,-21.042541,2025-09-14,2026-08-10,Forest
-56.743837,-20.963041,2025-09-14,2026-08-10,Forest
-52.27346,-21.042541,2025-09-14,2026-08-10,Forest
-52.275616,-21.044697,2025-09-14,2026-08-10,Forest
-52.37479,-21.046853,2025-09-14,2026-08-10,Forest
-51.889161,-19.261721,2025-09-14,2026-08-10,Forest
-52.383414,-21.044697,2025-09-14,2026-08-10,Forest
-52.398506,-21.049009,2025-09-14,2026-08-10,Forest
-51.535584,-19.261721,2025-09-14,2026-08-10,Forest
-52.398506,-21.046853,2025-09-14,2026-08-10,Forest
-52.023369,-21.042541,2025-09-14,2026-08-10,Forest
-56.713653,-20.963041,2025-09-14,2026-08-10,Forest
-56.761084,-20.965197,2025-09-14,2026-08-10,Forest
-52.389882,-21.044697,2025-09-14,2026-08-10,Forest
-52.41791,-21.046853,2025-09-14,2026-08-10,Forest
-51.895629,-19.263877,2025-09-14,2026-08-10,Forest
-51.621823,-19.266033,2025-09-14,2026-08-10,Forest
-52.379102,-21.044697,2025-09-14,2026-08-10,Forest
-52.38557,-21.049009,2025-09-14,2026-08-10,Forest
-52.042773,-21.049009,2025-09-14,2026-08-10,Forest
-52.400662,-21.044697,2025-09-14,2026-08-10,Forest
-52.415754,-21.046853,2025-09-14,2026-08-10,Forest
-52.040617,-21.044697,2025-09-14,2026-08-10,Forest
-56.726589,-20.963041,2025-09-14,2026-08-10,Forest
-51.585171,-19.261721,2025-09-14,2026-08-10,Forest
-56.715809,-20.963041,2025-09-14,2026-08-10,Forest
-51.805079,-19.259565,2025-09-14,2026-08-10,Forest
-52.139791,-21.046853,2025-09-14,2026-08-10,Forest
-52.41791,-21.049009,2025-09-14,2026-08-10,Forest
-51.623979,-19.266033,2025-09-14,2026-08-10,Forest
-52.266993,-21.042541,2025-09-14,2026-08-10,Forest
